fold,row_id,model,AE
1,69,k-NN,0.08475716201650542
1,72,k-NN,0.0167685052671159
1,73,k-NN,0.006238870386331144
1,79,k-NN,0.0910299653485092
1,81,k-NN,0.0436009131896612
1,84,k-NN,0.09157543581167499
1,92,k-NN,0.042650599462926306
1,96,k-NN,0.012669515264909493
1,97,k-NN,0.006085088146195652
1,110,k-NN,0.11703846429081778
1,111,k-NN,0.09719686467718609
1,113,k-NN,0.12543093597025184
1,114,k-NN,0.04937174637374566
1,118,k-NN,0.027815319314146693
1,140,k-NN,0.04751425067821103
1,146,k-NN,0.052334668081675806
1,148,k-NN,0.02879194487618001
1,153,k-NN,0.012168937516414324
1,155,k-NN,0.020549088467486386
1,163,k-NN,0.025697639658068566
1,168,k-NN,0.07388922915154515
1,181,k-NN,0.08877826743716549
1,183,k-NN,0.14631269034276584
1,184,k-NN,0.13984039538975268
1,185,k-NN,0.16622455650867304
1,198,k-NN,0.08633090343247968
1,199,k-NN,0.06910956699208963
1,210,k-NN,0.023863670329754817
1,218,k-NN,0.14860523820782667
1,222,k-NN,0.13269535109005084
1,223,k-NN,0.012955950964856626
1,224,k-NN,0.09131898073339748
1,227,k-NN,0.2309282162469251
1,228,k-NN,0.005970797183575342
1,237,k-NN,0.06529967651082863
1,239,k-NN,0.04076913724767827
1,246,k-NN,0.06334701859219896
1,248,k-NN,0.04924956220530639
1,256,k-NN,0.037429194231118075
1,261,k-NN,0.046656759079100885
1,262,k-NN,0.06807306826379236
1,269,k-NN,0.03681453322569933
1,275,k-NN,0.005273886109165673
1,279,k-NN,0.015243949780312427
1,291,k-NN,0.0320439893761327
1,306,k-NN,0.035527467938305045
1,310,k-NN,0.011969291459108007
1,316,k-NN,0.022979174942685674
1,321,k-NN,0.05509935101693347
1,6,NN,0.03402092938735276
1,10,NN,0.01390772450459302
1,15,NN,0.0002555557873491665
1,17,NN,0.02837294988888008
1,18,NN,0.044020047553934454
1,19,NN,0.0026977613263892406
1,22,NN,0.024755436284259177
1,23,NN,0.03709812125312482
1,24,NN,0.04883276183203662
1,30,NN,0.020500525157169724
1,31,NN,0.008317025931283126
1,39,NN,0.007811356739172837
1,56,NN,0.010939416392050419
1,59,NN,0.09398933789282615
1,66,NN,0.006590941327609343
1,68,NN,0.026077513684933253
1,69,NN,0.011838176793013275
1,72,NN,0.00834466713584991
1,73,NN,0.02821998896454815
1,79,NN,0.016939795747485532
1,81,NN,0.023455773677438573
1,84,NN,0.018309862009854107
1,92,NN,0.02184342624999829
1,96,NN,0.17124572440253114
1,97,NN,0.08279075592837921
1,110,NN,0.005671577058001134
1,111,NN,0.00767777221855475
1,113,NN,0.051825281043980806
1,114,NN,0.01956665203345052
1,118,NN,0.00013482324734503948
1,140,NN,0.0213504174742636
1,146,NN,0.027801761697583062
1,148,NN,0.015324553259830438
1,153,NN,0.01697265381000804
1,155,NN,0.013801910004598312
1,163,NN,0.005107375976580535
1,168,NN,0.011456345359622304
1,181,NN,0.003206898203996342
1,183,NN,0.10086771998596689
1,184,NN,0.14247052761680898
1,185,NN,0.1533878593272817
1,198,NN,0.06294769349624225
1,199,NN,0.003041051318851764
1,210,NN,0.03773879102201663
1,218,NN,0.020596074991922463
1,222,NN,0.18811254990555354
1,223,NN,0.06287916313892489
1,224,NN,0.09876606517340455
1,227,NN,0.07793744709296227
1,228,NN,0.0030295760505846658
1,237,NN,0.04979591226896495
1,239,NN,0.01834245031304725
1,246,NN,0.025540865388844036
1,248,NN,0.016784461638188867
1,256,NN,0.027024611880507123
1,261,NN,0.0775615671317043
1,262,NN,0.018664300233794576
1,269,NN,0.01771317606153165
1,275,NN,0.005276461763677318
1,279,NN,0.00582108637686229
1,291,NN,0.018383234293985494
1,306,NN,0.010972334075287637
1,310,NN,0.00267769751258907
1,316,NN,0.015042716046162355
1,321,NN,0.00030615306748117633
1,6,MLR (Lasso),0.008013735721505029
1,10,MLR (Lasso),0.012272678399802076
1,15,MLR (Lasso),0.007079027342766295
1,17,MLR (Lasso),0.07961531639167518
1,18,MLR (Lasso),0.07493632221937738
1,19,MLR (Lasso),0.00681960670426637
1,22,MLR (Lasso),0.010068203408482645
1,23,MLR (Lasso),0.02611387400296927
1,24,MLR (Lasso),0.03966468367376365
1,30,MLR (Lasso),0.06226278273019188
1,31,MLR (Lasso),0.02339557101868788
1,39,MLR (Lasso),0.0012634676343381557
1,56,MLR (Lasso),0.10318676368787831
1,59,MLR (Lasso),0.16850520311585435
1,66,MLR (Lasso),0.07193216454864071
1,68,MLR (Lasso),0.10777430434232979
1,69,MLR (Lasso),0.1354656110719758
1,72,MLR (Lasso),0.0032916286324216415
1,73,MLR (Lasso),0.025691414597165653
1,79,MLR (Lasso),0.12127164772303242
1,81,MLR (Lasso),0.11299940253947842
1,84,MLR (Lasso),0.020167485000912855
1,92,MLR (Lasso),0.05185495009237012
1,96,MLR (Lasso),0.03595522731071782
1,97,MLR (Lasso),0.015700933038567868
1,110,MLR (Lasso),0.15264648449668614
1,111,MLR (Lasso),0.16174278742101414
1,113,MLR (Lasso),0.11904539202732024
1,114,MLR (Lasso),0.0057660196379861264
1,118,MLR (Lasso),0.03218738542477794
1,140,MLR (Lasso),0.09704948112981317
1,146,MLR (Lasso),0.011258519754517273
1,148,MLR (Lasso),0.04941285222105922
1,153,MLR (Lasso),0.016115362272291486
1,155,MLR (Lasso),0.02936408142556246
1,163,MLR (Lasso),0.01587089919747818
1,168,MLR (Lasso),0.0856268195987811
1,181,MLR (Lasso),0.1283988797267224
1,183,MLR (Lasso),0.1310117223384014
1,184,MLR (Lasso),0.15460706548095338
1,185,MLR (Lasso),0.1606060362381224
1,198,MLR (Lasso),0.05628561819667702
1,199,MLR (Lasso),0.049320818895673996
1,210,MLR (Lasso),0.027339032712427505
1,218,MLR (Lasso),0.2519820957546082
1,222,MLR (Lasso),0.09444299486608994
1,223,MLR (Lasso),0.06103467396275395
1,224,MLR (Lasso),0.17154525777561297
1,227,MLR (Lasso),0.264927402639124
1,228,MLR (Lasso),0.0663347002678837
1,237,MLR (Lasso),0.04139160243913533
1,239,MLR (Lasso),0.00974247916322426
1,246,MLR (Lasso),0.04313442499433288
1,248,MLR (Lasso),0.02677879650604883
1,256,MLR (Lasso),0.045561394078953155
1,261,MLR (Lasso),0.019365561434777127
1,262,MLR (Lasso),0.06405966404122289
1,269,MLR (Lasso),0.05565030015579836
1,275,MLR (Lasso),0.05354928926461884
1,279,MLR (Lasso),0.03369831998968728
1,291,MLR (Lasso),0.0549403766903707
1,306,MLR (Lasso),0.05124771557491936
1,310,MLR (Lasso),0.07445337865533826
1,316,MLR (Lasso),0.043373971308815484
1,321,MLR (Lasso),0.08596293637828623
1,6,SVR,0.025670568000450623
1,10,SVR,0.028245047951702275
1,15,SVR,0.008638855427417838
1,17,SVR,0.004414106083707168
1,18,SVR,0.01387149409711192
1,19,SVR,0.012241157096851545
1,22,SVR,0.01222407623069941
1,23,SVR,0.011506903180429547
1,24,SVR,0.029779699367210862
1,30,SVR,0.008883715058969805
1,31,SVR,0.0048045241091522325
1,39,SVR,0.012650209924479015
1,56,SVR,0.0273638976595349
1,59,SVR,0.04238947205409382
1,66,SVR,0.09231045868856771
1,68,SVR,0.06677946994973212
1,69,SVR,0.08129213042607582
1,72,SVR,0.08634213555138533
1,73,SVR,0.050283102728826454
1,79,SVR,0.16845380686922024
1,81,SVR,0.11576083405672172
1,84,SVR,0.044106493070334644
1,92,SVR,0.018592925719278952
1,96,SVR,0.11511929474173194
1,97,SVR,0.044724723564572424
1,110,SVR,0.016406335684445283
1,111,SVR,0.018668598241411444
