fold,row_id,model,AE
0,119,LightGBM,0.0037091219279813716
0,124,LightGBM,0.003713492952018385
0,126,LightGBM,0.0952481891250766
0,132,LightGBM,0.01614131550296321
0,137,LightGBM,0.0643124239484657
0,144,LightGBM,0.06358648531028246
0,157,LightGBM,0.014631341946915342
0,164,LightGBM,0.06885286932433353
0,165,LightGBM,0.002112478393331827
0,172,LightGBM,0.06401360181194946
0,173,LightGBM,0.0988720359613125
0,175,LightGBM,0.04854622138325105
0,177,LightGBM,0.04455343390689322
0,179,LightGBM,0.0009291701621459226
0,180,LightGBM,0.12246460768348498
0,186,LightGBM,0.03815594359323818
0,196,LightGBM,0.000691041193709161
0,206,LightGBM,0.011727057677949838
0,209,LightGBM,0.041154032748178616
0,219,LightGBM,0.11808757573341254
0,226,LightGBM,0.10162772261627985
0,231,LightGBM,0.009998548787716216
0,245,LightGBM,0.01182418172765459
0,249,LightGBM,0.01033063357602675
0,258,LightGBM,0.001665742723008492
0,265,LightGBM,0.010414906438111658
0,266,LightGBM,0.01709334581240931
0,272,LightGBM,0.050745614172328646
0,284,LightGBM,0.0399095875880597
0,288,LightGBM,0.027700808839680357
0,292,LightGBM,0.038285138729727386
0,296,LightGBM,0.017508071491508445
0,300,LightGBM,0.03867969361673604
0,302,LightGBM,0.06807934788717432
0,303,LightGBM,0.02262178343094666
0,304,LightGBM,0.02985912362786518
0,313,LightGBM,0.03838700712478221
0,319,LightGBM,0.04791808667130322
0,3,DT,0.0633008345938746
0,5,DT,0.031030535356291935
0,7,DT,0.008991011351962114
0,9,DT,0.03318270954316461
0,16,DT,0.11955476019669505
0,25,DT,0.00766410824850297
0,33,DT,0.031189090025942754
0,42,DT,0.012505839896809335
0,45,DT,0.016819560582748742
0,46,DT,0.02454945417760424
0,55,DT,0.04323204300784091
0,57,DT,0.12874577407372556
0,60,DT,0.010189792122139423
0,63,DT,0.03431739898722561
0,75,DT,0.03837550708460981
0,76,DT,0.034157985526813234
0,77,DT,0.07941152693080475
0,78,DT,0.11752626991233249
0,82,DT,0.08986274155083777
0,90,DT,0.06576342880602351
0,93,DT,0.02212449862088178
0,94,DT,0.010900300502442235
0,101,DT,0.010078816124237769
0,104,DT,0.05934207828043274
0,108,DT,0.04582354523751866
0,109,DT,0.16677003912310667
0,116,DT,0.023289519292527813
0,119,DT,0.062313163764800165
0,124,DT,0.00830941026404119
0,126,DT,0.12062167399870996
0,132,DT,0.06019022221171765
0,137,DT,0.1365820227473443
0,144,DT,0.06494206535622216
0,157,DT,0.055254785388985074
0,164,DT,0.014577648044661445
0,165,DT,0.04656160995023861
0,172,DT,0.23235936741785232
0,173,DT,0.19384945039066132
0,175,DT,0.009324239420131093
0,177,DT,0.015154482428646573
0,179,DT,0.08006527506880133
0,180,DT,0.1372580755773826
0,186,DT,0.007734153885211512
0,196,DT,0.030310170336317766
0,206,DT,0.033275028565282236
0,209,DT,0.02601846743951377
0,219,DT,0.2657866345694696
0,226,DT,0.07220008176292367
0,231,DT,0.052795632890882585
0,245,DT,0.10173594774291374
0,249,DT,0.014144873900268244
0,258,DT,0.03115952874219232
0,265,DT,0.02105120639022413
0,266,DT,0.0073576560306782566
0,272,DT,0.008313992826228826
0,284,DT,0.10876551163267073
0,288,DT,0.05826603077398215
0,292,DT,0.017965154505640724
0,296,DT,0.080937108189929
0,300,DT,0.05597835056404089
0,302,DT,0.10113706005395301
0,303,DT,0.06204287508266701
0,304,DT,0.006996649510954
0,313,DT,0.0536520869124891
0,319,DT,0.06712932298082908
0,3,PLS,0.055799861766402545
0,5,PLS,0.03364726960004802
0,7,PLS,0.020302625907898067
0,9,PLS,0.048414966623706805
0,16,PLS,0.02489984671197803
0,25,PLS,0.019098887672219112
0,33,PLS,0.019585196342082653
0,42,PLS,0.05634884126376665
0,45,PLS,0.036297493206968595
0,46,PLS,0.01565378525851024
0,55,PLS,0.09575676965592106
0,57,PLS,0.16009669458564246
0,60,PLS,0.012814407763752448
0,63,PLS,0.07938971914028749
0,75,PLS,0.02076107987609177
0,76,PLS,0.034482450916614484
0,77,PLS,0.03962776807291626
0,78,PLS,0.10653402709016625
0,82,PLS,0.11402380138786768
0,90,PLS,0.0666258824550081
0,93,PLS,0.024900533898686062
0,94,PLS,0.009165696594078766
0,101,PLS,0.05634507297749721
0,104,PLS,0.09654917993014916
0,108,PLS,0.03363283657611884
0,109,PLS,0.11512003699361956
0,116,PLS,0.030695388248841448
0,119,PLS,0.00858882983717546
0,124,PLS,0.013169764393306593
0,126,PLS,0.17359330763275435
