index,PVA,Agarose,TPC_content,Doxy_content,freeze_thaw cycle,time,release_Doxy,release_TPC
15,1.5,0.15,200,10,3,6,42.3847624464184,32.1176982484762
16,1.5,0.2,100,10,3,1,40.0364559438999,11.9173008929106
16,1.5,0.2,100,10,3,2,58.1055066208806,22.7752861508959
16,1.5,0.2,100,10,3,3,65.0902066312879,31.2829148438905
16,1.5,0.2,100,10,3,4,78.5298620539336,32.9077305687062
16,1.5,0.2,100,10,3,5,87.466040658147,35.2801761850542
16,1.5,0.2,100,10,3,6,94.9787491991797,35.6401630011386
17,1.5,0.2,150,10,3,1,32.0809652092878,19.5008100888908
17,1.5,0.2,150,10,3,2,39.7267295125981,21.395104435784
17,1.5,0.2,150,10,3,3,75.1702225271998,22.241099969348
17,1.5,0.2,150,10,3,4,81.5923261798001,28.4450672154836
17,1.5,0.2,150,10,3,5,88.8163138723419,29.1500634934536
17,1.5,0.2,150,10,3,6,88.8163138723419,29.1500634934536
18,1.5,0.2,200,10,3,1,30.2738556320467,9.58552317247969
18,1.5,0.2,200,10,3,2,40.2707840948664,18.7396978021978
18,1.5,0.2,200,10,3,3,53.3664500977827,31.2104634495939
18,1.5,0.2,200,10,3,4,54.4273038982548,31.9113563067367
18,1.5,0.2,200,10,3,5,54.5256589173248,32.4853380315337
18,1.5,0.2,200,10,3,6,54.5256589173248,30.8989339464883
19,2,0.2,100,10,3,1,19.979647670846,18.0579834620844
19,2,0.2,100,10,3,2,29.9213007396638,30.1526328506432
19,2,0.2,100,10,3,3,39.2858500717992,38.0267535463196
19,2,0.2,100,10,3,4,41.2373436976163,42.8561076128606
19,2,0.2,100,10,3,5,41.2373436976163,44.8929867929493
19,2,0.2,100,10,3,6,41.2373436976163,46.4258156217076
20,2,0.2,150,10,3,1,17.731442498152,11.9933706560179
20,2,0.2,150,10,3,2,29.8155058876536,18.5897245168278
20,2,0.2,150,10,3,3,34.210552204341,24.0991791619361
20,2,0.2,150,10,3,4,38.5186768226548,29.8410053635047
20,2,0.2,150,10,3,5,46.2746572937974,31.4676062587271
20,2,0.2,150,10,3,6,46.2746572937974,32.6594474676689
21,2,0.2,200,10,3,1,14.6944842573135,10.9317103047007
21,2,0.2,200,10,3,2,34.6912793279922,16.6382636655949
21,2,0.2,200,10,3,3,43.310740488812,20.3991731740928
21,2,0.2,200,10,3,4,48.3661165447708,23.17723166
21,2,0.2,200,10,3,5,56.3469606043363,27.259072117593
21,2,0.2,200,10,3,6,51.708198650061,29.2548614301026
22,2,0.1,100,10,3,1,24.3396364768569,1.41346153846154
22,2,0.1,100,10,3,2,47.6815925519132,12.5899038461538
22,2,0.1,100,10,3,3,39.7304593722461,16.0427884615384
22,2,0.1,100,10,3,4,41.0362466896567,20.2908653846153
22,2,0.1,100,10,3,5,41.0362466896567,26.1341346153846
22,2,0.1,100,10,3,6,41.0362466896567,27.1081730769231
23,2,0.1,150,10,3,1,27.7145001793075,19.4946511595043
23,2,0.1,150,10,3,2,30.4678703910912,28.1686757203623
23,2,0.1,150,10,3,3,61.6556472832767,30.6766954481862
